age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
49.719024658203125,retired,divorced,tertiary,no,7249,yes,yes,cellular,4,feb,102,2,77,1,failure,no
49.35472106933594,retired,divorced,tertiary,no,5,yes,no,cellular,12,aug,105,2,-1,0,,no
48.83338165283203,retired,divorced,tertiary,no,1146,yes,yes,,19,may,458,4,-1,0,,no
48.474945068359375,retired,divorced,tertiary,no,2329,yes,no,cellular,29,jan,261,1,-1,0,,no
48.94384002685547,retired,divorced,tertiary,no,-213,yes,yes,cellular,4,feb,519,1,-1,0,,no
48.90364456176758,retired,divorced,tertiary,no,192,yes,no,,28,may,157,3,-1,0,,no
49.289512634277344,retired,divorced,tertiary,no,0,yes,no,cellular,22,aug,64,2,-1,0,,no
48.884769439697266,retired,divorced,tertiary,no,931,yes,no,cellular,11,may,263,2,348,4,failure,no
48.59449005126953,retired,divorced,tertiary,no,607,yes,yes,,8,may,240,3,-1,0,,no
49.42134094238281,retired,divorced,tertiary,no,14107,yes,no,cellular,17,nov,98,1,-1,0,,no
48.98363494873047,retired,divorced,tertiary,no,270,yes,no,,3,jun,116,1,-1,0,,no
48.92767333984375,retired,divorced,tertiary,no,480,yes,yes,telephone,15,jul,341,6,-1,0,,no
49.194244384765625,retired,divorced,tertiary,no,2823,yes,no,,9,jun,411,2,-1,0,,no
48.46030044555664,retired,divorced,tertiary,no,-1,yes,no,cellular,12,may,37,1,-1,0,,no
49.10661315917969,retired,divorced,tertiary,no,2506,yes,no,cellular,16,jul,377,1,228,3,failure,no
48.51277542114258,retired,divorced,tertiary,no,683,yes,no,cellular,8,nov,507,1,-1,0,,no
48.65711975097656,retired,divorced,tertiary,no,916,yes,no,cellular,11,may,472,2,-1,0,,no
49.326202392578125,retired,divorced,tertiary,no,5414,yes,no,cellular,30,jul,166,4,-1,0,,no
49.11928176879883,retired,divorced,tertiary,no,-407,yes,no,cellular,14,may,210,2,352,1,failure,no
48.929046630859375,retired,divorced,tertiary,no,949,yes,no,cellular,4,aug,91,1,-1,0,,no
48.69670867919922,retired,divorced,tertiary,no,1340,yes,no,,5,jun,175,1,-1,0,,no
48.987701416015625,retired,divorced,tertiary,no,450,yes,no,,9,jun,47,1,-1,0,,no
48.2112922668457,retired,divorced,tertiary,no,1594,yes,no,cellular,17,apr,110,1,260,5,failure,no
48.270381927490234,retired,divorced,tertiary,no,762,yes,no,,8,may,288,1,-1,0,,no
48.798316955566406,retired,divorced,tertiary,no,103,yes,no,cellular,17,apr,2053,2,317,1,other,no
48.91553497314453,retired,divorced,tertiary,no,389,yes,no,cellular,3,jun,837,1,-1,0,,yes
48.97351837158203,retired,divorced,tertiary,no,17,yes,no,cellular,15,jul,123,4,-1,0,,no
49.43610763549805,retired,divorced,tertiary,no,4166,yes,no,,16,jun,314,3,-1,0,,no
48.39738464355469,retired,divorced,tertiary,no,262,yes,no,cellular,8,may,268,1,281,4,other,no
49.481685638427734,retired,divorced,tertiary,no,21,yes,no,,6,jun,144,15,-1,0,,no
49.23908996582031,retired,divorced,tertiary,no,-379,yes,yes,cellular,22,jul,1237,7,-1,0,,yes
48.997535705566406,retired,divorced,tertiary,no,297,yes,no,cellular,19,aug,551,4,-1,0,,no
48.50190734863281,retired,divorced,tertiary,no,233,yes,no,cellular,8,apr,98,1,231,4,failure,no
49.27333450317383,retired,divorced,tertiary,no,-82,yes,yes,cellular,29,jul,234,6,-1,0,,no
49.48431396484375,retired,divorced,tertiary,no,5250,yes,no,cellular,15,apr,343,2,146,1,failure,no
49.14960861206055,retired,divorced,tertiary,no,-581,yes,no,cellular,14,may,877,2,345,5,failure,no
49.05592727661133,retired,divorced,tertiary,no,221,yes,no,cellular,29,aug,92,4,-1,0,,no
49.23637008666992,retired,divorced,tertiary,no,258,yes,no,cellular,3,feb,294,3,-1,0,,no
48.66274642944336,retired,divorced,tertiary,no,590,yes,yes,,5,jun,133,1,-1,0,,no
49.047401428222656,retired,divorced,tertiary,no,1204,yes,no,cellular,3,sep,789,2,-1,0,,no
