age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
39.821014404296875,retired,married,secondary,no,7249,yes,yes,cellular,4,feb,102,2,77,1,failure,no
44.55916976928711,retired,married,secondary,no,5,yes,no,cellular,12,aug,105,2,-1,0,,no
40.07512664794922,technician,married,secondary,no,1146,yes,yes,,19,may,458,4,-1,0,,no
44.97175598144531,technician,married,secondary,no,2329,yes,no,cellular,29,jan,261,1,-1,0,,no
40.1027717590332,technician,married,secondary,no,-213,yes,yes,cellular,4,feb,519,1,-1,0,,no
44.65657043457031,technician,married,secondary,no,192,yes,no,,28,may,157,3,-1,0,,no
44.634422302246094,retired,married,secondary,no,0,yes,no,cellular,22,aug,64,2,-1,0,,no
44.50483703613281,retired,married,secondary,no,931,yes,no,cellular,11,may,263,2,348,4,failure,no
40.41172790527344,technician,married,secondary,no,607,yes,yes,,8,may,240,3,-1,0,,no
44.66302490234375,technician,married,secondary,no,14107,yes,no,cellular,17,nov,98,1,-1,0,,no
45.02477264404297,technician,married,secondary,no,270,yes,no,,3,jun,116,1,-1,0,,no
40.33689880371094,technician,married,secondary,no,480,yes,yes,telephone,15,jul,341,6,-1,0,,no
44.7299919128418,retired,married,secondary,no,2823,yes,no,,9,jun,411,2,-1,0,,no
44.3668212890625,technician,married,secondary,no,-1,yes,no,cellular,12,may,37,1,-1,0,,no
44.32396697998047,technician,married,secondary,no,2506,yes,no,cellular,16,jul,377,1,228,3,failure,no
44.11576461791992,technician,married,secondary,no,683,yes,no,cellular,8,nov,507,1,-1,0,,no
44.32174301147461,retired,married,secondary,no,916,yes,no,cellular,11,may,472,2,-1,0,,no
44.09455490112305,technician,married,secondary,no,5414,yes,no,cellular,30,jul,166,4,-1,0,,no
43.518287658691406,retired,married,secondary,no,-407,yes,no,cellular,14,may,210,2,352,1,failure,no
44.841636657714844,technician,married,secondary,no,949,yes,no,cellular,4,aug,91,1,-1,0,,no
44.88547134399414,technician,married,secondary,no,1340,yes,no,,5,jun,175,1,-1,0,,no
44.796142578125,technician,married,secondary,no,450,yes,no,,9,jun,47,1,-1,0,,no
44.22966766357422,technician,married,secondary,no,1594,yes,no,cellular,17,apr,110,1,260,5,failure,no
44.72154998779297,technician,married,secondary,no,762,yes,no,,8,may,288,1,-1,0,,no
44.09250259399414,retired,married,secondary,no,103,yes,no,cellular,17,apr,2053,2,317,1,other,no
44.36910629272461,technician,married,secondary,no,389,yes,no,cellular,3,jun,837,1,-1,0,,yes
44.385047912597656,technician,married,secondary,no,17,yes,no,cellular,15,jul,123,4,-1,0,,no
44.303932189941406,technician,married,secondary,no,4166,yes,no,,16,jun,314,3,-1,0,,no
44.04179763793945,technician,married,secondary,no,262,yes,no,cellular,8,may,268,1,281,4,other,no
44.31133270263672,technician,married,secondary,no,21,yes,no,,6,jun,144,15,-1,0,,no
40.35753631591797,retired,married,secondary,no,-379,yes,yes,cellular,22,jul,1237,7,-1,0,,yes
44.3062858581543,technician,married,secondary,no,297,yes,no,cellular,19,aug,551,4,-1,0,,no
44.363914489746094,technician,married,secondary,no,233,yes,no,cellular,8,apr,98,1,231,4,failure,no
39.862831115722656,technician,married,secondary,no,-82,yes,yes,cellular,29,jul,234,6,-1,0,,no
44.17720031738281,retired,married,secondary,no,5250,yes,no,cellular,15,apr,343,2,146,1,failure,no
44.207550048828125,retired,married,secondary,no,-581,yes,no,cellular,14,may,877,2,345,5,failure,no
44.70398712158203,technician,married,secondary,no,221,yes,no,cellular,29,aug,92,4,-1,0,,no
44.533363342285156,technician,married,secondary,no,258,yes,no,cellular,3,feb,294,3,-1,0,,no
40.187889099121094,technician,married,secondary,no,590,yes,yes,,5,jun,133,1,-1,0,,no
44.434974670410156,retired,married,secondary,no,1204,yes,no,cellular,3,sep,789,2,-1,0,,no
44.44319152832031,technician,married,secondary,no,2540,yes,no,,14,may,189,1,-1,0,,no
44.39033126831055,technician,married,secondary,no,2191,yes,no,telephone,29,jul,99,5,-1,0,,no
44.35591125488281,retired,married,secondary,no,1210,yes,no,,5,jun,690,2,-1,0,,no
