age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
40.278194427490234,blue-collar,married,secondary,no,7249,yes,yes,cellular,4,feb,102,2,77,1,failure,no
39.77283477783203,blue-collar,married,secondary,no,5,no,no,cellular,12,aug,105,2,-1,0,,no
39.5009880065918,technician,married,secondary,no,1146,yes,yes,,19,may,458,4,-1,0,,no
39.79457092285156,blue-collar,married,secondary,no,2329,yes,no,cellular,29,jan,261,1,-1,0,,no
40.21031951904297,blue-collar,married,secondary,no,-213,yes,yes,cellular,4,feb,519,1,-1,0,,no
39.430419921875,technician,married,secondary,no,192,yes,no,,28,may,157,3,-1,0,,no
39.60276412963867,blue-collar,married,secondary,no,0,no,no,cellular,22,aug,64,2,-1,0,,no
39.11745834350586,blue-collar,married,secondary,no,931,yes,no,cellular,11,may,263,2,348,4,failure,no
39.56850051879883,technician,married,secondary,no,607,yes,yes,,8,may,240,3,-1,0,,no
40.05960464477539,blue-collar,married,secondary,no,14107,no,no,cellular,17,nov,98,1,-1,0,,no
41.01512145996094,technician,married,secondary,no,270,no,no,,3,jun,116,1,-1,0,,no
39.7445068359375,technician,married,secondary,no,480,yes,yes,telephone,15,jul,341,6,-1,0,,no
40.72850036621094,technician,married,secondary,no,2823,no,no,,9,jun,411,2,-1,0,,no
39.40505599975586,blue-collar,married,secondary,no,-1,yes,no,cellular,12,may,37,1,-1,0,,no
39.820068359375,blue-collar,married,secondary,no,2506,yes,no,cellular,16,jul,377,1,228,3,failure,no
39.73760986328125,blue-collar,married,secondary,no,683,no,no,cellular,8,nov,507,1,-1,0,,no
39.43673324584961,blue-collar,married,secondary,no,916,yes,no,cellular,11,may,472,2,-1,0,,no
39.78598403930664,blue-collar,married,secondary,no,5414,yes,no,cellular,30,jul,166,4,-1,0,,no
39.13117980957031,blue-collar,married,secondary,no,-407,yes,no,cellular,14,may,210,2,352,1,failure,no
39.990421295166016,blue-collar,married,secondary,no,949,no,no,cellular,4,aug,91,1,-1,0,,no
41.149085998535156,technician,married,secondary,no,1340,no,no,,5,jun,175,1,-1,0,,no
40.966941833496094,technician,married,secondary,no,450,no,no,,9,jun,47,1,-1,0,,no
39.65372085571289,blue-collar,married,secondary,no,1594,yes,no,cellular,17,apr,110,1,260,5,failure,no
39.46001052856445,technician,married,secondary,no,762,yes,no,,8,may,288,1,-1,0,,no
39.75868606567383,blue-collar,married,secondary,no,103,yes,no,cellular,17,apr,2053,2,317,1,other,no
41.1291389465332,blue-collar,married,secondary,no,389,no,no,cellular,3,jun,837,1,-1,0,,yes
39.6807975769043,blue-collar,married,secondary,no,17,no,no,cellular,15,jul,123,4,-1,0,,no
40.85276412963867,technician,married,secondary,no,4166,no,no,,16,jun,314,3,-1,0,,no
39.349605560302734,blue-collar,married,secondary,no,262,yes,no,cellular,8,may,268,1,281,4,other,no
40.77265930175781,technician,married,secondary,no,21,no,no,,6,jun,144,15,-1,0,,no
39.939571380615234,blue-collar,married,secondary,no,-379,yes,yes,cellular,22,jul,1237,7,-1,0,,yes
39.70530319213867,blue-collar,married,secondary,no,297,no,no,cellular,19,aug,551,4,-1,0,,no
39.62281036376953,blue-collar,married,secondary,no,233,yes,no,cellular,8,apr,98,1,231,4,failure,no
39.878570556640625,blue-collar,married,secondary,no,-82,yes,yes,cellular,29,jul,234,6,-1,0,,no
39.83149337768555,blue-collar,married,secondary,no,5250,yes,no,cellular,15,apr,343,2,146,1,failure,no
39.36911392211914,blue-collar,married,secondary,no,-581,yes,no,cellular,14,may,877,2,345,5,failure,no
39.663875579833984,blue-collar,married,secondary,no,221,no,no,cellular,29,aug,92,4,-1,0,,no
39.7700080871582,blue-collar,married,secondary,no,258,yes,no,cellular,3,feb,294,3,-1,0,,no
41.311614990234375,technician,married,secondary,no,590,no,yes,,5,jun,133,1,-1,0,,no
39.98283386230469,blue-collar,married,secondary,no,1204,yes,no,cellular,3,sep,789,2,-1,0,,no
